control_id,date,signal_date,ts_code,symbol,name,industry,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_date,entry_reason,exit_reason,holding_days,avg_cost_before,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
baseline_combined_next_bar,2024-02-02,2024-02-01,002705.sz,002705.sz,新宝股份,家用电器,defensive_dividend,BUY,BUY_1,BUY_1,500.0,11.26563,5632.815,1.6898444999999995,0.0,0.00563,2.815000000000012,200000.0,194365.4951555,0.0,500.0,0.0,0.0281640749999999,0.02805,2024-02-02,满足第一笔买点。,,0.0,0.0,0.0,-222.81499999999977,risk_off,next_bar,open,,
baseline_combined_next_bar,2024-03-13,2024-03-12,002271.sz,002271.sz,东方雨虹,建筑材料,cyclical_rotation,BUY,BUY_1,BUY_1,400.0,14.24712,5698.848,1.7096543999999998,0.0,0.0071199999999986,2.847999999999473,194365.4951555,188664.9375011,0.0,400.0,0.0,0.028221130691321,0.028762,2024-03-13,满足第一笔买点。,,0.0,0.0,0.0,29.151999999999845,neutral,next_bar,open,,
baseline_combined_next_bar,2024-03-29,2024-03-28,002271.sz,002271.sz,东方雨虹,建筑材料,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,400.0,12.963515,5185.406000000001,1.5556218000000002,2.5927030000000006,0.0064849999999996,2.593999999999852,188664.9375011,193846.1951763,400.0,0.0,0.0257222886206533,0.0,0.0,2024-03-13,满足第一笔买点。,周期趋势转弱，触发清仓。,12.0,14.24712,-517.5903247999992,0.0,neutral,next_bar,open,,
baseline_combined_next_bar,2025-02-28,2025-02-27,000012.sz,000012.sz,南  玻Ａ,建筑材料,cyclical_rotation,BUY,BUY_1,BUY_1,1200.0,4.90245,5882.94,1.7648819999999996,0.0,0.0024499999999996,2.939999999999543,193846.1951763,187961.4902943,0.0,1200.0,0.0,0.0292303739667583,0.029335,2025-02-28,满足第一笔买点。,,0.0,0.0,0.0,-14.940000000000351,risk_on,next_bar,open,,
baseline_combined_next_bar,2025-03-04,2025-03-03,000012.sz,000012.sz,南  玻Ａ,建筑材料,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1200.0,4.87756,5853.072,1.7559216,2.926536,0.0024399999999999,2.9279999999999973,187961.4902943,193809.8798367,1200.0,0.0,0.0290540657170231,0.0,0.0,2025-02-28,满足第一笔买点。,周期趋势转弱，触发清仓。,2.0,4.90245,-34.55045759999948,0.0,risk_on,next_bar,open,,
baseline_combined_next_bar,2025-03-26,2025-03-25,000012.sz,000012.sz,南  玻Ａ,建筑材料,cyclical_rotation,BUY,BUY_1,BUY_1,1200.0,5.012504999999999,6015.0059999999985,1.8045017999999995,0.0,0.0025049999999993,3.005999999999176,193809.8798367,187793.0693349,0.0,1200.0,0.0,0.0298163907246432,0.029742,2025-03-26,满足第一笔买点。,,0.0,0.0,0.0,-15.00599999999892,risk_on,next_bar,open,,
baseline_combined_next_bar,2025-04-09,2025-04-08,000012.sz,000012.sz,南  玻Ａ,建筑材料,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1200.0,4.647675,5577.210000000001,1.6731630000000002,2.7886050000000004,0.0023249999999999,2.789999999999893,187793.0693349,193365.8175669,1200.0,0.0,0.0279515867808988,0.0,0.0,2025-03-26,满足第一笔买点。,周期趋势转弱，触发清仓。,9.0,5.012504999999999,-442.2577679999975,0.0,neutral,next_bar,open,,
combined_v2_next_bar,2023-04-04,2023-04-03,600036.sh,600036.sh,招商银行,银行,defensive_dividend,BUY,BUY_1,BUY_1,200.0,27.67383,5534.766,1.6604297999999995,0.0,0.0138299999999986,2.7659999999997353,200000.0,194463.5735702,0.0,200.0,0.0,0.0276738299999999,0.02765,2023-04-04,高股息补充触发 BUY_1。,,0.0,0.0,0.0,-22.76600000000002,risk_on,next_bar,open,,
combined_v2_next_bar,2023-04-04,2023-04-03,601318.sh,601318.sh,中国平安,非银金融,defensive_dividend,BUY,BUY_1,BUY_1,200.0,38.329155,7665.831,2.2997493,0.0,0.0191549999999978,3.8309999999995625,194463.5735702,186795.4428209,0.0,200.0,0.0,0.038329155,0.03832,2023-04-04,高股息补充触发 BUY_1。,,0.0,0.0,0.0,-23.830999999999847,risk_on,next_bar,open,,
combined_v2_next_bar,2023-04-07,2023-04-06,600000.sh,600000.sh,浦发银行,银行,defensive_dividend,BUY,BUY_1,BUY_1,1300.0,6.143069999999999,7985.990999999998,2.395797299999999,0.0,0.0030699999999992,3.990999999999012,186795.4428209,178807.05602360002,0.0,1300.0,0.0,0.039978840562358,0.039894,2023-04-07,高股息补充触发 BUY_1。,,0.0,0.0,0.0,48.00900000000104,neutral,next_bar,open,,
