date,market_regime,nav_before,nav_after,daily_pnl,daily_return,exposure,holdings_count,defensive_daily_pnl,cyclical_daily_pnl,realized_pnl_today,unrealized_pnl_today,fees_today,tax_today,slippage_today,trade_count,buy_count,sell_count
2023-04-04,risk_on,200000.0,199949.4428209,-50.557179099996574,-0.00025278589549998287,0.06578662993215932,2,-50.557179099996574,-0.0,0.0,-50.557179099996574,3.9601790999999995,0.0,6.596999999999298,2,2,0
2023-04-06,neutral,199949.4428209,199755.4428209,-194.0,-0.0009702452643179952,0.06487933353395475,2,-194.0,-0.0,0.0,-194.0,0.0,0.0,0.0,0,0,0
2023-04-07,risk_on,199755.4428209,199979.05602360002,223.61320270001306,0.0011194348426365726,0.1058710868077177,3,223.61320270001306,0.0,0.0,223.61320270001306,2.395797299999999,0.0,3.990999999999012,1,1,0
2023-04-10,risk_on,199979.05602360002,200059.05602360002,80.0,0.00040004189233976085,0.10622863279677278,3,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0,0,0
2023-04-11,neutral,200059.05602360002,199838.05602360002,-221.0,-0.0011046738117865041,0.105240215094548,3,-221.0,-0.0,0.0,-221.0,0.0,0.0,0.0,0,0,0
2023-04-12,neutral,199838.05602360002,199867.05602360002,29.0,0.00014511750452864307,0.10537004156159314,3,29.0,0.0,0.0,29.0,0.0,0.0,0.0,0,0,0
2023-04-13,neutral,199867.05602360002,199830.82162980002,-36.23439379999763,-0.00018129247771438194,0.1317114136114576,4,-29.006788653721507,-7.227605146276123,0.0,-36.23439379999763,1.5883938,0.0,2.646000000000015,1,1,0
2023-04-14,neutral,199830.82162980002,200054.82162980002,224.0,0.0011209482009485754,0.13268363033568606,4,179.29113924050634,44.708860759493675,0.0,224.0,0.0,0.0,0.0,0,0,0
2023-04-17,risk_on,200054.82162980002,200860.45083550003,805.6292057000101,0.004027042183421208,0.17583351950616008,5,685.3254390410302,120.30376665897991,0.0,805.6292057000101,2.3897942999999997,0.0,3.980999999999568,1,1,0
2023-04-18,risk_on,200860.45083550003,201439.45083550003,579.0,0.0028825983292957327,0.17820243180326328,5,493.83633729838147,85.16366270161852,0.0,579.0,0.0,0.0,0.0,0,0,0
2023-04-19,risk_on,201439.45083550003,201244.45083550003,-195.0,-0.0009680328217298477,0.17740613394196544,5,-166.58730603327547,-28.412693966724554,0.0,-195.0,0.0,0.0,0.0,0,0,0
2023-04-20,risk_on,201244.45083550003,201433.45083550003,189.0,0.0009391563305986071,0.17817795331973074,5,161.57496308266695,27.42503691733304,0.0,189.0,0.0,0.0,0.0,0,0,0
2023-04-21,neutral,201433.45083550003,200466.45083550003,-967.0,-0.004800592930266073,0.1742136893951305,5,-827.6151070896805,-139.38489291031956,0.0,-967.0,0.0,0.0,0.0,0,0,0
2023-04-24,neutral,200466.45083550003,200010.45083550003,-456.0,-0.0022746948334720967,0.17233099498559926,5,-389.0049901357781,-66.99500986422188,0.0,-456.0,0.0,0.0,0.0,0,0,0
2023-04-25,neutral,200010.45083550003,199718.54972925002,-291.9011062500067,-0.0014594292699739114,0.2080778177907714,6,-259.7025675910556,-32.1985386589511,0.0,-291.9011062500067,2.2136062499999998,0.0,3.6874999999998437,1,1,0
2023-04-26,neutral,199718.54972925002,199689.54972925002,-29.0,-0.0001452043390026318,0.2079628105542124,6,-25.69413407821229,-3.3058659217877095,0.0,-29.0,0.0,0.0,0.0,0,0,0
