check_id,check_name,status,expected,actual,evidence,recommendation
SYNC-MD-001,observation_sync_check.md stale phrase absent,PASS,stale sync phrase absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_sync_check.md,重新生成 observation_sync_check.md，确保报告来自当前 Git 跟踪状态。
SYNC-MD-002,observation_sync_check.md stale phrase absent,PASS,stale sync phrase absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_sync_check.md,重新生成 observation_sync_check.md，确保报告来自当前 Git 跟踪状态。
SYNC-MD-003,observation_sync_check.md stale phrase absent,PASS,stale sync phrase absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_sync_check.md,重新生成 observation_sync_check.md，确保报告来自当前 Git 跟踪状态。
SYNC-MD-004,observation_sync_check.md stale phrase absent,PASS,stale sync phrase absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_sync_check.md,重新生成 observation_sync_check.md，确保报告来自当前 Git 跟踪状态。
SUMMARY-MD-001,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SUMMARY-MD-002,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SUMMARY-MD-003,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SUMMARY-MD-004,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SUMMARY-MD-005,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SUMMARY-MD-006,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SUMMARY-MD-007,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SUMMARY-MD-008,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SUMMARY-MD-009,observation_release_sync_summary.md old conclusion absent,PASS,old pre-commit conclusion absent,absent,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_release_sync_summary.md,刷新发布同步总结，避免提交前状态结论进入发布分支。
SYNC-CSV-FORBIDDEN-ACTION-1,observation_sync_check.csv forbidden action count,PASS,0,0,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_sync_check.csv,当前发布同步报告不得要求补 git add 或人工调查。
SYNC-CSV-FORBIDDEN-ACTION-2,observation_sync_check.csv forbidden action count,PASS,0,0,/Users/meseg/shu/stocks/quantile/reports/backtest/release/observation_sync_check.csv,当前发布同步报告不得要求补 git add 或人工调查。
SYNC-CSV-LEDGER-paper_account,data/observation/paper_account.yml action,PASS,IGNORE_LOCAL_ONLY,IGNORE_LOCAL_ONLY,data/observation/paper_account.yml,真实 paper ledger 必须保持本地忽略，不进入公开提交。
SYNC-CSV-LEDGER-paper_trades,data/observation/paper_trades.csv action,PASS,IGNORE_LOCAL_ONLY,IGNORE_LOCAL_ONLY,data/observation/paper_trades.csv,真实 paper ledger 必须保持本地忽略，不进入公开提交。
SYNC-CSV-LEDGER-paper_positions,data/observation/paper_positions.yml action,PASS,IGNORE_LOCAL_ONLY,IGNORE_LOCAL_ONLY,data/observation/paper_positions.yml,真实 paper ledger 必须保持本地忽略，不进入公开提交。
SYNC-CSV-TRACKED-observation.yml,config/observation.yml action,PASS,KEEP_TRACKED,KEEP_TRACKED,config/observation.yml,发布和复现所需文件必须保持 Git 跟踪。
SYNC-CSV-TRACKED-verify_combined_v2_rc.py,scripts/verify_combined_v2_rc.py action,PASS,KEEP_TRACKED,KEEP_TRACKED,scripts/verify_combined_v2_rc.py,发布和复现所需文件必须保持 Git 跟踪。
SYNC-CSV-TRACKED-run_observation_pipeline.py,scripts/run_observation_pipeline.py action,PASS,KEEP_TRACKED,KEEP_TRACKED,scripts/run_observation_pipeline.py,发布和复现所需文件必须保持 Git 跟踪。
SYNC-CSV-TRACKED-manual_observation_protocol.md,docs/manual_observation_protocol.md action,PASS,KEEP_TRACKED,KEEP_TRACKED,docs/manual_observation_protocol.md,发布和复现所需文件必须保持 Git 跟踪。
SUMMARY-REQ-001,observation_release_sync_summary.md required current conclusion,PASS,present: RC verify: PASS,present,RC verify: PASS,发布同步总结必须保留 RC PASS、策略未变更等当前结论。
SUMMARY-REQ-002,observation_release_sync_summary.md required current conclusion,PASS,present: 不涉及策略变更,present,不涉及策略变更,发布同步总结必须保留 RC PASS、策略未变更等当前结论。
OBS-GATE-001,allowed observation has no current blocked report,PASS,observation_blocked.md absent or LEGACY_SUPERSEDED,absent_or_legacy,/Users/meseg/shu/stocks/quantile/reports/observation/2026-05-04/observation_blocked.md,freshness 允许观察时，不能保留当前有效的 STALE_DATA_BLOCKED 主报告。
OBS-GATE-001B,allowed observation has no stale blocked content,PASS,no stale blocked content,none,/Users/meseg/shu/stocks/quantile/reports/observation/2026-05-04/observation_blocked.md,freshness 允许观察时，当前主路径不得残留旧 STALE_DATA_BLOCKED 内容。
OBS-GATE-002,allowed observation summary exists,PASS,exists,exists,/Users/meseg/shu/stocks/quantile/reports/observation/2026-05-04/observation_summary.md,freshness 允许观察时必须生成 observation_summary.md。
OBS-GATE-003,allowed observation manifest action_allowed,PASS,true,True,/Users/meseg/shu/stocks/quantile/reports/observation/2026-05-04/observation_run_manifest.json,manifest 必须反映本次 gate 已允许观察。
OBS-SUMMARY-001,holiday observation summary marker,PASS,MARKET_CLOSED_AS_OF_DATE,present,/Users/meseg/shu/stocks/quantile/reports/observation/2026-05-04/observation_summary.md,非交易日 summary 必须标记市场关闭。
OBS-SUMMARY-002,holiday observation summary execution wording,PASS,no active execution wording,none,/Users/meseg/shu/stocks/quantile/reports/observation/2026-05-04/observation_summary.md,非交易日 summary 只能作为下一交易日人工复核。
